0, flow_bombeiros-ufsm.0:0
60, flow_bombeiros-ufsm.0:0
120, flow_bombeiros-ufsm.0:0
180, flow_bombeiros-ufsm.0:0
240, flow_bombeiros-ufsm.0:0, flow_bombeiros-ufsm.1:0
300, flow_bombeiros-ufsm.0:0, flow_bombeiros-ufsm.1:0
360, flow_bombeiros-ufsm.0:0, flow_bombeiros-ufsm.1:0
420, flow_bombeiros-ufsm.0:0, flow_bombeiros-ufsm.1:0, flow_bombeiros-ufsm.2:0
480, flow_bombeiros-ufsm.0:1, flow_bombeiros-ufsm.1:0, flow_bombeiros-ufsm.2:0
540, flow_bombeiros-ufsm.0:1, flow_bombeiros-ufsm.1:0, flow_bombeiros-ufsm.2:0
600, flow_bombeiros-ufsm.0:2, flow_bombeiros-ufsm.1:1, flow_bombeiros-ufsm.2:0, flow_bombeiros-ufsm.3:0
660, flow_bombeiros-ufsm.0:2, flow_bombeiros-ufsm.1:1, flow_bombeiros-ufsm.2:1, flow_bombeiros-ufsm.3:0
720, flow_bombeiros-ufsm.0:2, flow_bombeiros-ufsm.1:1, flow_bombeiros-ufsm.2:1, flow_bombeiros-ufsm.3:0
780, flow_bombeiros-ufsm.0:4, flow_bombeiros-ufsm.1:3, flow_bombeiros-ufsm.2:1, flow_bombeiros-ufsm.3:0
840, flow_bombeiros-ufsm.0:4, flow_bombeiros-ufsm.1:3, flow_bombeiros-ufsm.2:5, flow_bombeiros-ufsm.3:2, flow_bombeiros-ufsm.4:0
900, flow_bombeiros-ufsm.0:6, flow_bombeiros-ufsm.1:3, flow_bombeiros-ufsm.2:5, flow_bombeiros-ufsm.3:2, flow_bombeiros-ufsm.4:1
960, flow_bombeiros-ufsm.0:13, flow_bombeiros-ufsm.1:3, flow_bombeiros-ufsm.2:5, flow_bombeiros-ufsm.3:2, flow_bombeiros-ufsm.4:1
1020, flow_bombeiros-ufsm.0:13, flow_bombeiros-ufsm.1:3, flow_bombeiros-ufsm.2:8, flow_bombeiros-ufsm.3:2, flow_bombeiros-ufsm.4:3, flow_bombeiros-ufsm.5:0
1080, flow_bombeiros-ufsm.0:17, flow_bombeiros-ufsm.1:3, flow_bombeiros-ufsm.2:8, flow_bombeiros-ufsm.3:4, flow_bombeiros-ufsm.4:3, flow_bombeiros-ufsm.5:0
1140, flow_bombeiros-ufsm.0:17, flow_bombeiros-ufsm.1:10, flow_bombeiros-ufsm.2:10, flow_bombeiros-ufsm.3:4, flow_bombeiros-ufsm.4:3, flow_bombeiros-ufsm.5:0
1200, flow_bombeiros-ufsm.0:17, flow_bombeiros-ufsm.1:10, flow_bombeiros-ufsm.2:10, flow_bombeiros-ufsm.3:4, flow_bombeiros-ufsm.4:3, flow_bombeiros-ufsm.5:0, flow_bombeiros-ufsm.6:0
1260, flow_bombeiros-ufsm.0:21, flow_bombeiros-ufsm.1:10, flow_bombeiros-ufsm.2:10, flow_bombeiros-ufsm.3:4, flow_bombeiros-ufsm.4:6, flow_bombeiros-ufsm.5:0, flow_bombeiros-ufsm.6:0
1320, flow_bombeiros-ufsm.0:22, flow_bombeiros-ufsm.1:10, flow_bombeiros-ufsm.2:13, flow_bombeiros-ufsm.3:7, flow_bombeiros-ufsm.4:6, flow_bombeiros-ufsm.5:1, flow_bombeiros-ufsm.6:0
1380, flow_bombeiros-ufsm.0:22, flow_bombeiros-ufsm.1:10, flow_bombeiros-ufsm.2:16, flow_bombeiros-ufsm.3:7, flow_bombeiros-ufsm.4:6, flow_bombeiros-ufsm.5:1, flow_bombeiros-ufsm.6:0
